,Module efficiency,R2,MSE
0,0.1,0.8723944660680453,29.340408264341804
1,0.105,0.8723944660680422,26.52713942717951
2,0.11,0.8723944660680457,23.993391881573498
3,0.115,0.872394466068043,21.73916562752425
4,0.12,0.8723944660680449,19.76446066503116
5,0.125,0.8723944660680472,18.06927699409466
6,0.13,0.8723944660680484,16.653614614714808
7,0.135,0.8723944660680476,15.517473526891532
8,0.14,0.8723944660680495,14.660853730624698
9,0.145,0.87239446606805,14.083755225914368
10,0.15,0.8723944660680495,13.78617801276068
11,0.155,0.8723944660680488,13.768122091163436
12,0.16,0.8723944660680499,14.029587461122723
13,0.165,0.8723944660680476,14.570574122638298
14,0.17,0.8723944660680507,15.39108207571069
15,0.175,0.8723944660680476,16.49111132033952
16,0.18,0.8723944660680495,17.870661856525025
17,0.185,0.8723944660680507,19.529733684266912
18,0.19,0.8723944660680483,21.46832680356536
19,0.195,0.8723944660680443,23.6864412144205
20,0.2,0.8723944660680453,26.184076916831923
21,0.205,0.8723944660680459,28.961233910800047
22,0.21,0.8723944660680422,32.01791219632449
23,0.215,0.872394466068043,35.35411177340551
24,0.22,0.8723944660680457,38.96983264204289
25,0.225,0.872394466068044,42.86507480223692
26,0.23,0.872394466068043,47.039838253987746
27,0.235,0.8723944660680459,51.49412299729449
28,0.24,0.8723944660680449,56.22792903215812
29,0.245,0.8723944660680505,61.24125635857781
30,0.25,0.8723944660680472,66.53410497655467
31,0.255,0.8723944660680534,72.10647488608754
32,0.26,0.8723944660680484,77.95836608717816
33,0.265,0.8723944660680505,84.08977857982438
34,0.27,0.8723944660680476,90.50071236402687
35,0.275,0.8723944660680478,97.19116743978752
36,0.28,0.8723944660680495,104.16114380710196
37,0.285,0.8723944660680507,111.41064146597456
38,0.29,0.87239446606805,118.93966041640326
39,0.295,0.8723944660680464,126.74820065838837
40,0.3,0.8723944660680495,134.83626219193062
41,0.305,0.8723944660680457,143.2038450170296
42,0.31,0.8723944660680488,151.85094913368425
43,0.315,0.872394466068044,160.77757454189688
44,0.32,0.8723944660680499,169.98372124166318
45,0.325,0.8723944660680464,179.46938923298822
46,0.33,0.8723944660680476,189.23457851586923
47,0.335,0.8723944660680453,199.27928909030655
48,0.34,0.8723944660680507,209.60352095630154
49,0.345,0.8723944660680476,220.2072741138504
50,0.35,0.8723944660680476,231.09054856295882
51,0.355,0.8723944660680469,242.25334430362156
52,0.36,0.8723944660680495,253.69566133584226
53,0.365,0.8723944660680457,265.4174996596201
54,0.37,0.8723944660680507,277.41885927495133
55,0.375,0.872394466068044,289.69974018184223
56,0.38,0.8723944660680483,302.2601423802844
57,0.385,0.8723944660680476,315.1000658702906
58,0.39,0.8723944660680443,328.21951065185135
59,0.395,0.8723944660680512,341.61847672496395
60,0.4,0.8723944660680453,355.2969640896385
