,Efficiency,R2,MSE
0,0.1,0.7730637153723358,9.559393749225217
1,0.11,0.7730637153723326,9.307542529687591
2,0.12,0.7730637153723344,9.059794067132739
3,0.13,0.7730637153723336,8.816148361563135
4,0.14,0.773063715372333,8.576605412979866
5,0.15,0.7730637153723324,8.3411652213795
6,0.16,0.773063715372333,8.109827786763825
7,0.17,0.7730637153723319,7.882593109132222
8,0.18,0.7730637153723321,7.6594611884852695
9,0.19,0.7730637153723344,7.440432024823612
10,0.2,0.7730637153723358,7.225505618144959
11,0.21,0.7730637153723313,7.014681968452214
12,0.22,0.7730637153723326,6.807961075741213
13,0.23,0.7730637153723321,6.6053429400174055
14,0.24,0.7730637153723344,6.40682756127698
15,0.25,0.7730637153723342,6.212414939521002
16,0.26,0.7730637153723336,6.022105074749461
17,0.27,0.7730637153723324,5.8358979669619995
18,0.28,0.773063715372333,5.653793616160151
19,0.29,0.7730637153723326,5.475792022340944
20,0.3,0.7730637153723324,5.301893185506873
21,0.31,0.7730637153723344,5.13209710565798
22,0.32,0.773063715372333,4.966403782792814
23,0.33,0.7730637153723344,4.804813216912411
24,0.34,0.7730637153723319,4.647325408016016
25,0.35,0.7730637153723324,4.493940356104015
26,0.36,0.7730637153723321,4.344658061176639
27,0.37,0.7730637153723339,4.199478523234141
28,0.38,0.7730637153723344,4.058401742275479
29,0.39,0.7730637153723319,3.9214277183008686
30,0.4,0.7730637153723358,3.788556451310644
31,0.41,0.7730637153723324,3.6597879413062326
32,0.42,0.7730637153723313,3.5351221882849084
33,0.43,0.7730637153723355,3.4145591922482468
34,0.44,0.7730637153723326,3.2980989531966705
35,0.45,0.7730637153723319,3.1857414711288627
36,0.46,0.7730637153723321,3.0774867460451807
37,0.47,0.7730637153723339,2.973334777946798
38,0.48,0.7730637153723344,2.8732855668327044
39,0.49,0.7730637153723305,2.777339112702363
40,0.5,0.7730637153723342,2.6854954155572353
41,0.51,0.7730637153723332,2.597754475395576
42,0.52,0.7730637153723336,2.5141162922189775
43,0.53,0.7730637153723339,2.4345808660266877
44,0.54,0.7730637153723324,2.3591481968187047
45,0.55,0.7730637153723326,2.2878182845951
46,0.56,0.773063715372333,2.220591129356045
47,0.57,0.7730637153723324,2.1574667311018874
48,0.58,0.7730637153723326,2.0984450898314497
49,0.59,0.7730637153723332,2.043526205545451
50,0.6,0.7730637153723324,1.9927100782439542
51,0.61,0.7730637153723317,1.9459967079271534
52,0.62,0.7730637153723344,1.9033860945946144
53,0.63,0.7730637153723352,1.864878238246559
54,0.64,0.773063715372333,1.8304731388826783
55,0.65,0.7730637153723342,1.800170796503437
56,0.66,0.7730637153723344,1.7739712111085664
57,0.67,0.7730637153723326,1.7518743826980163
58,0.68,0.7730637153723319,1.7338803112720078
59,0.69,0.7730637153723326,1.719988996830435
60,0.7,0.7730637153723324,1.7102004393733157
61,0.71,0.7730637153723342,1.7045146389006347
62,0.72,0.7730637153723321,1.7029315954121116
63,0.73,0.7730637153723348,1.7054513089080257
64,0.74,0.7730637153723339,1.7120737793887597
65,0.75,0.773063715372333,1.7227990068538315
66,0.76,0.7730637153723344,1.7376269913027533
67,0.77,0.7730637153723344,1.756557732736491
68,0.78,0.7730637153723319,1.779591231154547
69,0.79,0.773063715372335,1.8067274865571283
70,0.8,0.7730637153723358,1.8379664989440105
71,0.81,0.7730637153723326,1.8733082683154283
72,0.82,0.7730637153723324,1.9127527946712892
73,0.83,0.7730637153723342,1.9563000780115594
74,0.84,0.7730637153723313,2.0039501183360326
75,0.85,0.773063715372333,2.055702915645062
76,0.86,0.7730637153723355,2.1115584699387817
77,0.87,0.7730637153723319,2.171516781216406
78,0.88,0.7730637153723326,2.2355778494787577
79,0.89,0.7730637153723342,2.3037416747254413
80,0.9,0.7730637153723319,2.376008256957037
81,0.91,0.7730637153723319,2.452377596172381
82,0.92,0.7730637153723321,2.532849692372366
83,0.93,0.7730637153723326,2.6174245455563048
84,0.94,0.7730637153723339,2.706102155725382
85,0.95,0.7730637153723317,2.7988825228788987
86,0.96,0.7730637153723344,2.895765647016127
87,0.97,0.7730637153723332,2.9967515281381334
88,0.98,0.7730637153723305,3.1018401662447648
89,0.99,0.7730637153723324,3.211031561335711
90,1.0,0.7730637153723342,3.3243257134109743
91,,,
