Bin,Wind,Power,10kW
1,0,-12,
2,0.5,-12,
3,0.6,-12,
4,0.7,-12,
5,0.8,-12,
6,0.9,-12,
7,1,-12,
8,1.1,-12,
9,1.2,-12,
10,1.3,-11,
11,1.4,-11,
12,1.5,-11,
13,1.6,-10.0464,
14,1.7,-8.6064,
15,1.8,-6.5504,
16,1.9,-3.7344,
17,2,6.32827E-15,
18,2.1,4.8256,
19,2.2,10.9296,
20,2.3,18.5136,
21,2.4,27.7936,
22,2.5,39,
23,2.6,35.89922701,
24,2.7,42.60151307,
25,2.8,56.70377714,
26,2.9,75.94820228,
27,3,98.67865503,
28,3.1,123.7243521,
29,3.2,150.3002344,
30,3.3,177.9222957,
31,3.4,206.3362428,
32,3.5,235.457984,
33,3.6,265.324561,
34,3.7,296.0542486,
35,3.8,327.814654,
36,3.9,360.7977446,
37,4,395.2008298,
38,4.1,431.2126127,
39,4.2,469.0035093,
40,4.3,508.7195155,
41,4.4,550.4789764,
42,4.5,594.3716811,
43,4.6,640.4597757,
44,4.7,688.7800463,
45,4.8,739.3471809,
46,4.9,792.1576754,
47,5,847.1940955,
48,5.1,904.4294525,
49,5.2,963.8314953,
50,5.3,1025.366755,
51,5.4,1089.004219,
52,5.5,1154.718534,
53,5.6,1222.49268,
54,5.7,1292.320072,
55,5.8,1364.206058,
56,5.9,1438.168842,
57,6,1514.23982,
58,6.1,1592.463385,
59,6.2,1672.896233,
60,6.3,1755.606225,
61,6.4,1840.670876,
62,6.5,1928.17553,
63,6.6,2018.21129,
64,6.7,2110.872789,
65,6.8,2206.255857,
66,6.9,2304.455177,
67,7,2405.561974,
68,7.1,2509.661828,
69,7.2,2616.832647,
70,7.3,2727.142879,
71,7.4,2840.64998,
72,7.5,2957.399206,
73,7.6,3077.422741,
74,7.7,3200.739183,
75,7.8,3327.353418,
76,7.9,3457.256858,
77,8,3590.428056,
78,8.1,3726.833677,
79,8.2,3866.429796,
80,8.3,4009.163481,
81,8.4,4154.974638,
82,8.5,4303.798038,
83,8.6,4455.565486,
84,8.7,4610.20806,
85,8.8,4767.658337,
86,8.9,4927.85254,
87,9,5090.73252,
88,9.1,5256.247483,
89,9.2,5424.355383,
90,9.3,5595.023893,
91,9.4,5768.230869,
92,9.5,5943.964229,
93,9.6,6122.221176,
94,9.7,6303.006694,
95,9.8,6486.331261,
96,9.9,6672.207741,
97,10,6860.647426,
98,10.1,7051.655207,
99,10.2,7245.223896,
100,10.3,7441.327716,
101,10.4,7639.915035,
102,10.5,7840.900408,
103,10.6,8044.156062,
104,10.7,8249.502975,
105,10.8,8456.701731,
106,10.9,8665.443397,
107,11,8875.340703,
108,11.1,9085.919845,
109,11.2,9296.613308,
110,11.3,9506.754146,
111,11.4,9715.572229,
112,11.5,9922.193018,
113,11.6,10125.63953,
114,11.7,10324.83818,
115,11.8,10518.62935,
116,11.9,10705.78353,
117,12,10885.02397,
118,12.1,11055.05705,
119,12.2,11214.61136,
120,12.3,11362.48688,
121,12.4,11497.61567,
122,12.5,11619.13547,
123,12.6,11726.47794,
124,12.7,11819.47319,
125,12.8,11898.47265,
126,12.9,11964.49216,
127,13,12019.37752,
128,13.1,12065.99488,
129,13.2,12108.44837,
130,13.3,12152.32772,
131,13.4,12204.98862,
132,13.5,12275.86898,
133,13.6,12315.61613,
134,13.7,12343.66235,
135,13.8,12364.36412,
136,13.9,12380.62551,
137,14,12394.37591,
138,14.1,12406.80194,
139,14.2,12418.54501,
140,14.3,12429.86686,
141,14.4,12440.78556,
142,14.5,12451.1843,
143,14.6,12460.89532,
144,14.7,12469.76152,
145,14.8,12477.67797,
146,14.9,12484.61591,
147,15,12490.63139,
148,15.1,12495.86116,
149,15.2,12500.50811,
150,15.3,12504.81864,
151,15.4,12509.05441,
152,15.5,12513.46076,
153,15.6,12518.23438,
154,15.7,12523.49239,
155,15.8,12529.24542,
156,15.9,12535.37694,
157,16,12541.63139,
158,16.1,12547.61331,
159,16.2,12552.80003,
160,16.3,12556.57024,
161,16.4,12558.2508,
162,16.5,12557.1843,
163,16.6,12552.81965,
164,16.7,12544.82807,
165,16.8,12533.24709,
166,16.9,12518.65465,
167,17,12502.37591,
168,17.1,12486.72514,
169,17.2,12475.28494,
170,17.3,12473.22535,
171,17.4,12487.6652,
172,17.5,12528,
173,17.6,12510.8,
174,17.7,12493.6,
175,17.8,12476.4,
176,17.9,12459.2,
177,18,12442,
178,18.1,12432.8,
179,18.2,12423.6,
180,18.3,12414.4,
181,18.4,12405.2,
182,18.5,12396,
183,18.6,12358.4,
184,18.7,12320.8,
185,18.8,12283.2,
186,18.9,12245.6,
187,19,12208,
188,19.1,12142,
189,19.2,12076,
190,19.3,12010,
191,19.4,11944,
192,19.5,11878,
193,19.6,11900.2,
194,19.7,11922.4,
195,19.8,11944.6,
196,19.9,11966.8,
197,20,11989,
198,20.1,11890.2,
199,20.2,11791.4,
200,20.3,11692.6,
201,20.4,11593.8,
202,20.5,11495,
